node_id,kind,lat,lon
DEPOT,depot,51.190491,71.428779
SITE-0001,site,51.165515,71.451065
SITE-0002,site,51.153648,71.442995
SITE-0003,site,51.178809,71.43996
SITE-0004,site,51.17869,71.439732
SITE-0005,site,51.179829,71.442292
SITE-0006,site,51.180114,71.442659
SITE-0007,site,51.191286,71.438579
SITE-0008,site,51.175517,71.429841
SITE-0009,site,51.177049,71.429452
SITE-0010,site,51.153565,71.439741
SITE-0011,site,51.213424,71.379218
SITE-0012,site,51.163615,71.443401
SITE-0013,site,51.166541,71.428347
SITE-0014,site,51.162124,71.461397
SITE-0015,site,51.208706,71.375279
SITE-0016,site,51.213089,71.386963
SITE-0017,site,51.178536,71.445532
SITE-0018,site,51.164888,71.473176
SITE-0019,site,51.178384,71.4786
SITE-0020,site,51.209837,71.395905
SITE-0021,site,51.177148,71.440069
SITE-0022,site,51.19784,71.459014
SITE-0023,site,51.174554,71.43003
SITE-0024,site,51.200375,71.456016
SITE-0025,site,51.168276,71.452964
SITE-0026,site,51.203913,71.408299
SITE-0027,site,51.21032,71.390966
SITE-0028,site,51.192976,71.461826
SITE-0029,site,51.21958,71.387339
SITE-0030,site,51.223242,71.380087
SITE-0031,site,51.163582,71.445489
SITE-0032,site,51.200189,71.452296
SITE-0033,site,51.19828,71.458478
SITE-0034,site,51.163343,71.451811
SITE-0035,site,51.208286,71.415717
SITE-0036,site,51.210816,71.368796
SITE-0037,site,51.162426,71.432397
SITE-0038,site,51.178105,71.474739
SITE-0039,site,51.191479,71.433576
SITE-0040,site,51.194555,71.428278
SITE-0041,site,51.213603,71.389221
SITE-0042,site,51.166676,71.437414
SITE-0043,site,51.194331,71.438352
SITE-0044,site,51.250549,71.340318
SITE-0045,site,51.211621,71.374091
SITE-0046,site,51.192959,71.423265
SITE-0047,site,51.173835,71.432993
SITE-0048,site,51.165868,71.446583
SITE-0049,site,51.170685,71.433059
SITE-0050,site,51.180025,71.475502
SITE-0051,site,51.174023,71.440311
SITE-0052,site,51.168903,71.439319
SITE-0053,site,51.176062,71.431207
SITE-0054,site,51.193628,71.46352
SITE-0055,site,51.20419,71.456738
SITE-0056,site,51.209364,71.387264
SITE-0057,site,51.214235,71.378387
SITE-0058,site,51.176179,71.429651
SITE-0059,site,51.16699,71.4602
SITE-0060,site,51.165313,71.440503
SITE-0061,site,51.162821,71.460339
SITE-0062,site,51.173534,71.430318
SITE-0063,site,51.220314,71.376743
SITE-0064,site,51.177502,71.47828
SITE-0065,site,51.175956,71.432675
SITE-0066,site,51.195984,71.420661
SITE-0067,site,51.214852,71.38016
SITE-0068,site,51.156285,71.448782
SITE-0069,site,51.206864,71.405793
SITE-0070,site,51.200858,71.452114
SITE-0071,site,51.16078,71.459043
SITE-0072,site,51.195394,71.461406
SITE-0073,site,51.209953,71.405305
SITE-0074,site,51.176636,71.433328
SITE-0075,site,51.202551,71.414142
SITE-0076,site,51.166526,71.453399
SITE-0077,site,51.19803,71.460507
SITE-0078,site,51.165147,71.434594
SITE-0079,site,51.178002,71.472067
SITE-0080,site,51.223018,71.372609
SITE-0081,site,51.177591,71.47708
SITE-0082,site,51.186375,71.506095
SITE-0083,site,51.218938,71.374857
SITE-0084,site,51.196538,71.420623
SITE-0085,site,51.21783,71.374825
SITE-0086,site,51.194645,71.426439
SITE-0087,site,51.204317,71.406437
SITE-0088,site,51.166963,71.429778
SITE-0089,site,51.182361,71.503767
SITE-0090,site,51.212349,71.392202
SITE-0091,site,51.181269,71.47284
SITE-0092,site,51.161883,71.454893
SITE-0093,site,51.204457,71.411266
SITE-0094,site,51.203181,71.406012
SITE-0095,site,51.205875,71.399478
SITE-0096,site,51.177028,71.474259
SITE-0097,site,51.209244,71.403511
SITE-0098,site,51.206076,71.408857
SITE-0099,site,51.19349,71.424017
SITE-0100,site,51.217186,71.380635
SITE-0101,site,51.211472,71.390716
SITE-0102,site,51.202284,71.445257
SITE-0103,site,51.17178,71.479254
SITE-0104,site,51.199454,71.451015
SITE-0105,site,51.194132,71.465628
SITE-0106,site,51.170053,71.462613
SITE-0107,site,51.192942,71.462706
SITE-0108,site,51.2056,71.404901
SITE-0109,site,51.219213,71.37929
SITE-0110,site,51.177483,71.431763
SITE-0111,site,51.217996,71.384363
SITE-0112,site,51.194647,71.441262
SITE-0113,site,51.203707,71.414795
SITE-0114,site,51.216164,71.389124
SITE-0115,site,51.214919,71.377138
SITE-0116,site,51.199964,71.408464
SITE-0117,site,51.211571,71.375019
SITE-0118,site,51.191985,71.432656
SITE-0119,site,51.157367,71.431098
SITE-0120,site,51.159903,71.439831
SITE-0121,site,51.184246,71.474911
SITE-0122,site,51.20844,71.388231
SITE-0123,site,51.168459,71.437191
SITE-0124,site,51.214739,71.387369
SITE-0125,site,51.178086,71.442633
SITE-0126,site,51.187464,71.439935
SITE-0127,site,51.198763,71.451936
SITE-0128,site,51.201179,71.462288
SITE-0129,site,51.201925,71.45998
SITE-0130,site,51.164142,71.432122
SITE-0131,site,51.210711,71.388163
SITE-0132,site,51.160626,71.462244
SITE-0133,site,51.216974,71.377435
SITE-0134,site,51.173777,71.454279
SITE-0135,site,51.193753,71.460543
SITE-0136,site,51.170023,71.446888
SITE-0137,site,51.176436,71.475768
SITE-0138,site,51.16426,71.458074
SITE-0139,site,51.159218,71.434059
SITE-0140,site,51.205597,71.442463
SITE-0141,site,51.211142,71.385113
SITE-0142,site,51.213556,71.391213
SITE-0143,site,51.171929,71.440931
SITE-0144,site,51.164321,71.445287
SITE-0145,site,51.211189,71.379307
SITE-0146,site,51.220879,71.376696
SITE-0147,site,51.210474,71.386507
SITE-0148,site,51.202605,71.40819
SITE-0149,site,51.20716,71.407673
SITE-0150,site,51.171248,71.443311
SITE-0151,site,51.163481,71.458254
SITE-0152,site,51.208706,71.446855
SITE-0153,site,51.208824,71.39328
SITE-0154,site,51.166807,71.457542
SITE-0155,site,51.202086,71.406771
SITE-0156,site,51.158334,71.434364
SITE-0157,site,51.161039,71.455498
SITE-0158,site,51.160872,71.452627
SITE-0159,site,51.168615,71.434137
SITE-0160,site,51.171113,71.446468
SITE-0161,site,51.196871,71.439989
SITE-0162,site,51.158378,71.451054
SITE-0163,site,51.165658,71.473043
SITE-0164,site,51.206207,71.384346
SITE-0165,site,51.165539,71.439556
SITE-0166,site,51.210122,71.373455
SITE-0167,site,51.220081,71.390929
SITE-0168,site,51.211953,71.376379
SITE-0169,site,51.208488,71.436859
SITE-0170,site,51.164702,71.459652
SITE-0171,site,51.209281,71.380023
SITE-0172,site,51.196901,71.509601
SITE-0173,site,51.164673,71.46086
SITE-0174,site,51.195253,71.422872
SITE-0175,site,51.233787,71.368806
SITE-0176,site,51.211269,71.371184
SITE-0177,site,51.221111,71.373672
SITE-0178,site,51.16178,71.462515
SITE-0179,site,51.212472,71.382115
SITE-0180,site,51.170407,71.458156
SITE-0181,site,51.187413,71.503924
SITE-0182,site,51.183618,71.502152
SITE-0183,site,51.16032,71.458073
SITE-0184,site,51.177146,71.432906
SITE-0185,site,51.232658,71.375083
SITE-0186,site,51.208529,71.389787
SITE-0187,site,51.215914,71.386434
SITE-0188,site,51.20826,71.403062
SITE-0189,site,51.172834,71.467313
SITE-0190,site,51.199947,71.457088
SITE-0191,site,51.173162,71.44053
SITE-0192,site,51.17648,71.428889
SITE-0193,site,51.172225,71.447314
SITE-0194,site,51.192966,71.43683
SITE-0195,site,51.218611,71.387115
SITE-0196,site,51.167971,71.440188
SITE-0197,site,51.183614,71.511931
SITE-0198,site,51.23329,71.372847
SITE-0199,site,51.16306,71.441843
SITE-0200,site,51.168976,71.450984
SITE-0201,site,51.17082,71.472461
SITE-0202,site,51.199275,71.459148
SITE-0203,site,51.200696,71.460757
SITE-0204,site,51.241055,71.378766
SITE-0205,site,51.220264,71.389968
SITE-0206,site,51.196842,71.458579
SITE-0207,site,51.163357,71.448038
SITE-0208,site,51.195891,71.434429
SITE-0209,site,51.248857,71.383713
SITE-0210,site,51.174513,71.476478
SITE-0211,site,51.212057,71.390208
SITE-0212,site,51.159391,71.432976
SITE-0213,site,51.195224,71.459529
SITE-0214,site,51.194771,71.463314
SITE-0215,site,51.186017,71.44739
SITE-0216,site,51.171976,71.467997
SITE-0217,site,51.161856,71.459999
SITE-0218,site,51.248588,71.377376
SITE-0219,site,51.220254,71.392942
SITE-0220,site,51.176734,71.432316
SITE-0221,site,51.223891,71.378974
SITE-0222,site,51.207336,71.375197
SITE-0223,site,51.216333,71.375851
SITE-0224,site,51.175066,71.443418
SITE-0225,site,51.160112,71.429255
SITE-0226,site,51.208826,71.40485
SITE-0227,site,51.168351,71.450828
SITE-0228,site,51.207643,71.390942
SITE-0229,site,51.154012,71.444199
SITE-0230,site,51.253413,71.343442
SITE-0231,site,51.168083,71.454649
SITE-0232,site,51.172967,71.444209
SITE-0233,site,51.207442,71.397487
SITE-0234,site,51.197061,71.423583
SITE-0235,site,51.20159,71.413374
SITE-0236,site,51.207562,71.387144
SITE-0237,site,51.166095,71.440238
SITE-0238,site,51.158421,71.444573
SITE-0239,site,51.162806,71.462951
SITE-0240,site,51.213742,71.38496
SITE-0241,site,51.172842,71.448356
SITE-0242,site,51.161013,71.440754
SITE-0243,site,51.196363,71.435874
SITE-0244,site,51.203149,71.414517
SITE-0245,site,51.200732,71.410102
SITE-0246,site,51.178415,71.4795
SITE-0247,site,51.199995,71.450564
SITE-0248,site,51.195006,71.454381
SITE-0249,site,51.214727,71.376307
SITE-0250,site,51.163512,71.454818
LANDFILL,landfill,51.20379,71.506687
