site_id,lat,lon,address,district,sector,containers,container_liters,capacity_liters,area_type,daily_fill_rate_pct,fill_pct,last_service_day,source_real
SITE-0001,51.153648,71.442995,"ул. Жұмабек Тәшенов көшесі, 13/3, район Жастар",Жастар,Жастар,2,1100,2200,multistorey,28.5741,79.1005,-2,True
SITE-0002,51.179829,71.442292,"ул. улица Михаила Лермонтова, 45А, район Жастар",Жастар,Жастар,3,660,1980,mixed,16.3764,55.582,-3,True
SITE-0003,51.180114,71.442659,"ул. улица Михаила Лермонтова, 45А, район Жастар",Жастар,Жастар,5,1100,5500,mixed,12.7889,52.1565,-3,True
SITE-0004,51.153565,71.439741,"ул. переулок Жумабека Ташенова, 9/4, район Жастар",Жастар,Жастар,5,660,3300,multistorey,35.4641,51.5313,-1,True
SITE-0005,51.163615,71.443401,"ул. Тараз көшесі, 3/3, район Жастар",Жастар,Жастар,2,240,480,mixed,52.9239,46.6554,0,True
SITE-0006,51.196519,71.456844,"ул. улица Чехоева, 15, район Жастар",Жастар,Жастар,1,240,240,mixed,46.2798,67.2235,-1,False
SITE-0007,51.201232,71.459965,"ул. улица Жолымбет, 10, район Жастар",Жастар,Жастар,6,660,3960,mixed,17.9795,47.8559,-2,False
SITE-0008,51.165872,71.446546,"ул. Баянауыл көшесі, 108, район Жастар",Жастар,Жастар,5,660,3300,mixed,15.4202,17.8574,-1,False
SITE-0009,51.198499,71.45794,"ул. улица Чехоева, 15А/1, район Жастар",Жастар,Жастар,6,240,1440,mixed,31.5408,50.4982,-1,False
SITE-0010,51.194972,71.465026,"ул. улица Жолымбетская, 16а, район Жастар",Жастар,Жастар,6,240,1440,mixed,16.9479,7.1809,0,False
SITE-0011,51.200242,71.460916,"ул. улица Жолымбет, 10, район Жастар",Жастар,Жастар,3,1100,3300,mixed,23.7035,6.758,0,False
SITE-0012,51.162937,71.447686,"ул. переулок Гастелло, 10, район Жастар",Жастар,Жастар,5,1100,5500,mixed,11.9924,75.5907,-3,False
SITE-0013,51.163639,71.447248,"ул. переулок Амангельды Иманова, 13, район Жастар",Жастар,Жастар,3,1100,3300,mixed,18.1229,60.2603,-3,False
SITE-0014,51.159702,71.445102,"ул. Жәнібек Тархан көшесі, 6Б, район Жастар",Жастар,Жастар,5,1100,5500,multistorey,13.8456,27.7238,-2,False
SITE-0015,51.1709,71.448198,"ул. Абай даңғылы, 75/6, район Жастар",Жастар,Жастар,3,660,1980,mixed,12.2571,40.3106,-3,False
SITE-0016,51.193525,71.462627,"ул. улица Михаила Шолохова, 15, район Жастар",Жастар,Жастар,2,1100,2200,mixed,22.7335,12.0096,0,False
SITE-0017,51.195811,71.45605,"ул. улица Чехоева, 15, район Жастар",Жастар,Жастар,3,1100,3300,mixed,12.4914,32.129,-2,False
SITE-0018,51.167508,71.450829,"ул. Кенесары көшесі, 75/1, район Жастар",Жастар,Жастар,2,1100,2200,multistorey,24.0819,21.5807,0,False
SITE-0019,51.165523,71.439592,"ул. Шоқан Уәлиханов көшесі, 7, район Жастар",Жастар,Жастар,3,1100,3300,mixed,14.2148,52.5118,-3,False
SITE-0020,51.166973,71.444571,"ул. Асан Қайғы көшесі, 56, район Жастар",Жастар,Жастар,2,120,240,mixed,76.7787,54.021,0,False
SITE-0021,51.175821,71.449565,"ул. улица Карагандинская, 133, район Жастар",Жастар,Жастар,6,1100,6600,mixed,11.9876,38.0276,-3,False
SITE-0022,51.173326,71.444114,"ул. Сәкен Сейфуллин көшесі, 46/5, район Жастар",Жастар,Жастар,3,1100,3300,mixed,12.2856,39.1834,-3,False
SITE-0023,51.200837,71.45841,"ул. улица Чехоева, 15А, район Жастар",Жастар,Жастар,2,1100,2200,mixed,33.5452,75.3574,-2,False
SITE-0024,51.173882,71.453953,"ул. улица Алмукан Сембинов, 26, район Жастар",Жастар,Жастар,4,240,960,mixed,29.3288,66.5412,-2,False
SITE-0025,51.167973,71.448648,"ул. Кенесары көшесі, 73, район Жастар",Жастар,Жастар,4,660,2640,mixed,25.2471,12.8914,0,False
SITE-0026,51.202841,71.460523,"ул. улица Жолымбет, 10, район Жастар",Жастар,Жастар,4,240,960,mixed,32.151,50.8112,-1,False
SITE-0027,51.178459,71.451085,"ул. улица Жиенкулова, 9, район Жастар",Жастар,Жастар,5,240,1200,mixed,27.0327,31.7834,-1,False
SITE-0028,51.199829,71.45496,"ул. улица Камысты, 7, район Жастар",Жастар,Жастар,3,660,1980,mixed,18.0118,15.4652,0,False
SITE-0029,51.20165,71.456412,"ул. улица Камысты, 7, район Жастар",Жастар,Жастар,1,660,660,mixed,34.3104,81.9412,-2,False
SITE-0030,51.168529,71.445021,"ул. Кенесары көшесі, 69А, район Жастар",Жастар,Жастар,5,1100,5500,mixed,19.7148,73.8728,-3,False
SITE-0031,51.172479,71.448079,"ул. Жақып Омаров көшесі, 182, район Жастар",Жастар,Жастар,1,660,660,mixed,23.9207,51.7487,-2,False
SITE-0032,51.195425,71.462969,"ул. улица Мурадели, 8, район Жастар",Жастар,Жастар,6,660,3960,mixed,17.7395,9.6821,0,False
SITE-0033,51.168876,71.450926,"ул. улица Алмукан Сембинов, 10/4, район Жастар",Жастар,Жастар,2,1100,2200,mixed,20.761,26.8834,-1,False
SITE-0034,51.193238,71.464007,"ул. шоссе Алаш, 13, район Жастар",Жастар,Жастар,4,240,960,mixed,26.6502,46.4791,-1,False
SITE-0035,51.171312,71.446418,"ул. Абай даңғылы, 71/1, район Жастар",Жастар,Жастар,5,1100,5500,mixed,11.3808,72.2723,-3,False
SITE-0036,51.173122,71.440546,"ул. Сәкен Сейфуллин көшесі, 44/1, район Жастар",Жастар,Жастар,6,1100,6600,mixed,16.2474,4.0352,0,False
SITE-0037,51.171415,71.439568,"ул. Шоқан Уәлиханов көшесі, 20А, район Жастар",Жастар,Жастар,2,660,1320,multistorey,36.6629,81.0223,-2,False
