policy,day,km_total,km_per_tonne,overflow_events,overflow_site_days,mean_fill_at_pickup,max_interval_violations,truck_hours,fuel_liters,co2_kg,cost_kzt,sites_served,tonnes_collected,distance_source,valid_plan
fixed,1,243.83020125961303,5.243926799832538,68,272.0,83.0727450241821,0,20.940027773777643,85.34057044086455,228.71272878151703,25175.468280055044,214,46.497636326159174,road_cache,True
fixed,2,110.92479990386963,6.926258770601018,9,36.0,51.52610449308633,0,12.738999987443288,38.82367996635437,104.04746230982971,11452.985590074539,161,16.01511054924739,road_cache,True
fixed,3,139.4638003616333,6.856028480000309,6,24.0,44.79927729399435,0,15.882138881285986,48.81233012657165,130.81704473921204,14399.637387338636,203,20.341776696007397,road_cache,True
fixed,4,115.38600079727173,6.174450552916512,16,64.0,52.793472334907634,0,13.502916672362222,40.385100279045105,108.23206874784088,11913.604582318307,174,18.687654846109176,road_cache,True
fixed,5,127.67580094528198,7.228607017414796,12,48.0,38.37295050888391,0,15.492444467412101,44.68653033084869,119.75990128667449,13182.526447600363,201,17.662573250654223,road_cache,True
fixed,6,91.7374995880127,8.040809684421278,9,36.0,38.44186557195632,0,12.00300001223882,32.10812485580444,86.04977461355591,9471.89683246231,163,11.40898779954339,road_cache,True
fixed,7,154.81910092544555,7.022536558824179,5,20.0,44.56484903216481,0,17.220694453318913,54.18668532390594,145.22031666806794,15985.072170552252,214,22.046037016483364,road_cache,True
fixed,8,106.10430018234253,6.990204545369567,6,24.0,47.59439417269561,0,12.566305559078852,37.13650506381988,99.5258335710373,10955.268993826865,161,15.178997909671738,road_cache,True
fixed,9,154.0094008178711,7.509489090414889,5,20.0,44.866882983480224,0,16.635555569993127,53.90329028625488,144.46081796716308,15901.47063444519,203,20.508638998417172,road_cache,True
fixed,10,114.53670099639892,6.958480309834404,11,44.0,47.041459306498176,0,13.431750017007191,40.08784534873962,107.43542553462218,11825.914377878187,174,16.460016540468537,road_cache,True
fixed,11,176.13149998092652,7.685532238977131,12,48.0,50.67802458652031,0,17.371777804692588,61.646024993324275,165.21134698210906,18185.57737303066,201,22.917280743118436,road_cache,True
fixed,12,101.17900099945068,8.68865557368014,8,32.0,39.19108439988415,0,12.213805578019883,35.412650349807734,94.90590293748474,10446.731853193281,163,11.644954750645688,road_cache,True
fixed,13,129.02350084304808,6.852453552547187,11,44.0,37.67723237006475,0,16.214750025139914,45.15822529506683,121.0240437907791,13321.676462044714,214,18.828803413791487,road_cache,True
fixed,14,105.8382007484436,6.84042502231807,8,32.0,48.89478167998975,0,12.5499166642295,37.04337026195525,99.27623230204009,10927.7942272768,161,15.472459737973614,road_cache,True
fixed,15,157.52010088348388,7.658437167110558,5,20.0,45.14625988909838,0,16.69308334681723,55.132035309219354,147.75385462870787,16263.95041621971,203,20.568178264876256,road_cache,True
fixed,16,122.04580194091797,7.4443681783250755,7,28.0,46.60953888645345,0,13.675805568695068,42.716030679321285,114.47896222058105,12601.22905039978,174,16.394380156567877,road_cache,True
fixed,17,140.55660041809082,6.813487402835029,9,36.0,45.067960168426694,0,15.873388911750581,49.19481014633178,131.8420911921692,14512.468993167877,201,20.6291715399087,road_cache,True
fixed,18,106.17290131378174,6.120850849114677,15,60.0,54.4471029357677,0,12.700722232924567,37.16051545982361,99.59018143232727,10962.352060647963,163,17.346101699102608,road_cache,True
fixed,19,112.75689986801147,5.964793807651885,11,44.0,37.97755838166107,0,15.449694459040959,39.46491495380401,105.76597207619476,11642.149911372184,214,18.903738084518906,road_cache,True
fixed,20,91.16760067749023,7.989195841812698,7,28.0,37.70225141658521,0,11.845000016159482,31.908660237121577,85.51520943548583,9413.054769950864,161,11.411361353836192,road_cache,True
fixed,21,156.843600982666,7.598448500527801,9,36.0,46.00903949071297,0,16.68961114274131,54.895260343933096,147.1192977217407,16194.101801460263,203,20.641529777002685,road_cache,True
fixed,22,108.81880054092407,6.546005287833104,10,40.0,47.27805123032045,0,13.267555585834716,38.08658018932342,102.07203490738678,11235.54115585041,174,16.62369578942792,road_cache,True
fixed,23,136.01859997940065,6.642851955727694,6,24.0,44.85143589801811,0,15.709833339717653,47.60650999279022,127.5854467806778,14043.920447873115,201,20.47593426527002,road_cache,True
