detour_budget_m_per_m3,km_total,km_per_tonne,overflow_events,overflow_site_days,mean_fill_at_pickup,max_interval_violations,truck_hours,fuel_liters,co2_kg,cost_kzt,sites_served
0.0,3076.03251518631,6.412913669670126,153.0,20.400000000000002,67.92166398130996,0.0,320.3047772606214,1076.6113803152084,2885.3184992447586,317600.35719298647,3353.0
5.0,3628.6109294700623,7.479867829844382,143.0,19.066666666666666,57.90623810613541,0.0,376.53227666510475,1270.0138253145217,3403.6370518429185,374654.0784677839,3958.0
10.0,3632.5107345695496,7.47680920968805,142.0,18.933333333333334,57.25674399736668,0.0,378.57094346721965,1271.3787570993422,3407.2950690262373,375056.73334430595,4008.0
20.0,3613.769034980774,7.459608453061147,146.0,19.46666666666667,57.2806779569279,0.0,377.9681101744705,1264.8191622432707,3389.715354811966,373121.6528617649,3997.0
30.0,3601.283429962158,7.439807723839936,141.0,18.8,56.655123081347085,0.0,378.5003046360281,1260.4492004867552,3378.0038573045044,371832.5141435928,4040.0
50.0,3587.7490316352846,7.377240920420159,141.0,18.8,55.768654060197235,0.0,382.01613780352807,1255.7121610723495,3365.308591673897,370435.0875163431,4115.0
75.0,3676.2619300918577,7.564593249368776,143.0,19.066666666666666,54.85178338170666,0.0,389.97233223954834,1286.6916755321502,3448.333690426163,379574.04428198433,4184.0
100.0,3704.300531715393,7.596919759028909,139.0,18.53333333333333,54.19184024871349,0.0,394.48363785359595,1296.5051861003874,3474.6338987490385,382469.02989961434,4242.0
400.0,3903.712230457306,7.961851994967611,135.0,18.0,47.42890506527987,0.0,440.0501100595792,1366.299280660057,3661.682072168953,403058.28779471683,4867.0
1600.0,4130.298526191711,8.420075744883373,126.0,16.8,41.63342256390268,0.0,485.6168598968453,1445.604484167099,3874.2200175678254,426453.3228292942,5554.0
